Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
13.68,75.11,1,2,Часто,6.42,67.51,5,Да,0,Низкий,3,Обычная,Отрицательное,Умеренная,Нет,Высшее,3.6,Мужской,95.48
28.6,73.96,2,2,Часто,7.76,83.96,3,Да,2,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,2.95,Женский,100.0
18.13,86.8,2,2,Иногда,8.45,75.38,4,Да,2,Низкий,1,Обычная,Отрицательное,Высокая,Нет,Высшее,3.36,Мужской,100.0
10.71,98.92,3,4,Нет,6.82,83.28,5,Да,1,Средний,3,Обычная,Положительное,Низкая,Нет,Высшее,1.46,Мужской,100.0
9.65,94.18,4,2,Нет,8.52,88.05,3,Да,3,Низкий,2,Обычная,Положительное,Высокая,Нет,Высшее,4.85,Мужской,100.0
17.41,69.29,3,5,Нет,6.02,83.3,1,Да,2,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.79,Женский,100.0
13.88,75.1,1,3,Иногда,9.24,78.28,1,Да,2,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.34,Мужской,100.0
18.57,94.41,5,4,Часто,7.52,63.02,4,Да,2,Высокий,4,Обычная,Нейтральное,Высокая,Да,Среднее специальное,2.47,Мужской,100.0
17.37,75.18,5,3,Редко,6.78,74.97,5,Да,3,Средний,1,Частная,Положительное,Высокая,Нет,Среднее специальное,1.55,Мужской,100.0
14.64,82.75,4,3,Нет,7.14,68.6,4,Да,3,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,3.86,Мужской,100.0
10.77,90.5,5,4,Иногда,8.47,70.87,1,Да,3,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.17,Мужской,100.0
7.43,75.32,3,4,Редко,6.8,70.51,2,Да,1,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.71,Женский,97.12
12.77,86.05,5,4,Редко,6.6,63.24,4,Нет,2,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.69,Женский,100.0
19.28,71.66,1,4,Иногда,7.23,51.51,5,Нет,3,Средний,2,Частная,Нейтральное,Низкая,Нет,Высшее,2.13,Женский,100.0
16.07,78.99,3,5,Иногда,6.09,66.98,4,Да,0,Высокий,2,Обычная,Нейтральное,Низкая,Нет,Среднее,0.1,Женский,100.0
8.77,88.2,2,5,Нет,9.68,77.32,4,Да,3,Средний,3,Обычная,Нейтральное,Высокая,Нет,Высшее,1.88,Мужской,100.0
15.87,69.07,2,4,Нет,6.82,58.82,1,Нет,1,Средний,4,Частная,Нейтральное,Низкая,Нет,Среднее специальное,2.53,Женский,99.98
16.93,89.4,2,2,Часто,8.5,75.19,5,Да,1,Средний,2,Обычная,Нейтральное,Низкая,Нет,Среднее,0.92,Мужской,100.0
10.58,84.8,3,1,Редко,7.75,95.0,4,Да,0,Высокий,2,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.49,Мужской,100.0
15.77,90.52,4,3,Нет,6.32,87.28,3,Да,2,Высокий,3,Обычная,Нейтральное,Низкая,Нет,Высшее,1.54,Женский,100.0
15.29,87.24,3,4,Нет,7.49,94.72,4,Да,3,Средний,3,Частная,Нейтральное,Низкая,Нет,Среднее специальное,3.58,Женский,100.0
9.29,98.64,2,3,Нет,8.44,79.69,2,Да,2,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.78,Женский,100.0
16.79,86.25,4,3,Редко,7.27,89.01,1,Да,4,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.58,Женский,100.0
17.8,80.71,3,5,Часто,8.93,66.31,2,Да,1,Низкий,4,Частная,Отрицательное,Умеренная,Нет,Среднее,0.65,Женский,100.0
20.42,86.22,3,5,Редко,8.73,67.27,2,Да,2,Средний,3,Частная,Нейтральное,Умеренная,Нет,Среднее,5.96,Женский,95.14
20.27,90.43,3,5,Редко,8.6,42.13,3,Да,1,Средний,4,Частная,Отрицательное,Умеренная,Нет,Среднее,0.89,Женский,100.0
8.11,85.49,2,3,Иногда,6.95,89.23,3,Да,2,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.1,Женский,100.0
10.31,85.41,3,4,Иногда,6.2,93.48,4,Да,4,Низкий,2,Частная,Нейтральное,Умеренная,Да,Среднее,3.04,Мужской,99.69
17.58,77.98,5,3,Часто,6.76,68.36,3,Да,0,Средний,1,Частная,Положительное,Умеренная,Нет,Высшее,2.4,Мужской,100.0
17.57,78.37,2,2,Часто,7.74,71.95,3,Да,3,Высокий,4,Обычная,Нейтральное,Высокая,Нет,Высшее,0.28,Женский,100.0
17.58,70.97,3,2,Нет,8.15,65.95,1,Да,1,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,8.39,Мужской,92.0
30.0,100.0,4,3,Иногда,4.89,79.59,4,Да,2,Средний,2,Обычная,Положительное,Умеренная,Нет,Среднее специальное,1.87,Мужской,100.0
17.85,72.56,4,3,Редко,7.49,88.5,3,Да,1,Средний,1,Обычная,Положительное,Низкая,Нет,Высшее,1.39,Мужской,100.0
20.68,78.07,1,5,Часто,7.69,54.09,3,Да,2,Средний,4,Частная,Положительное,Умеренная,Нет,Среднее,0.96,Мужской,100.0
19.77,77.82,2,2,Редко,7.17,79.91,5,Да,3,Средний,3,Обычная,Положительное,Низкая,Нет,Среднее,4.58,Женский,100.0
18.26,93.95,1,4,Часто,9.05,71.68,4,Да,3,Средний,5,Частная,Положительное,Умеренная,Нет,Среднее,0.56,Женский,100.0
13.42,82.05,3,4,Иногда,8.01,76.36,5,Да,1,Низкий,4,Обычная,Нейтральное,Высокая,Нет,Высшее,0.67,Женский,100.0
18.79,97.48,3,3,Редко,9.07,80.51,3,Да,1,Средний,3,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.26,Женский,100.0
11.14,78.27,2,3,Иногда,7.24,72.74,2,Да,3,Низкий,3,Частная,Отрицательное,Низкая,Нет,Среднее специальное,2.85,Женский,96.59
13.82,87.79,5,3,Часто,8.62,73.76,4,Да,5,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,1.81,Женский,100.0
12.57,76.65,3,4,Часто,9.46,72.43,2,Да,1,Высокий,2,Обычная,Положительное,Низкая,Нет,Среднее,1.88,Женский,100.0
15.41,100.0,2,3,Нет,9.07,86.64,3,Да,3,Низкий,2,Частная,Отрицательное,Умеренная,Нет,Среднее,0.49,Мужской,100.0
26.57,73.12,3,2,Иногда,6.19,80.03,1,Да,1,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,2.11,Мужской,100.0
5.66,88.1,3,2,Редко,7.2,77.65,5,Нет,1,Средний,2,Обычная,Положительное,Низкая,Нет,Среднее специальное,2.9,Мужской,100.0
18.43,91.34,1,4,Нет,7.09,59.75,2,Да,2,Высокий,3,Обычная,Положительное,Высокая,Нет,Высшее,0.89,Женский,100.0
6.94,89.14,2,5,Редко,8.09,70.46,5,Да,0,Средний,3,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,3.23,Женский,100.0
12.64,83.15,4,3,Редко,8.32,85.78,5,Да,2,Средний,5,Обычная,Положительное,Высокая,Нет,Высшее,0.86,Женский,100.0
20.44,83.7,3,4,Часто,6.49,75.45,3,Да,2,Высокий,3,Частная,Нейтральное,Низкая,Нет,Среднее специальное,2.84,Женский,100.0
15.32,85.44,3,4,Редко,7.58,82.91,4,Да,1,Средний,5,Частная,Нейтральное,Низкая,Нет,Среднее специальное,0.1,Мужской,100.0
9.61,83.53,3,5,Часто,5.08,95.0,4,Да,4,Средний,3,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,1.6,Мужской,100.0
11.42,94.64,1,5,Нет,9.23,87.46,5,Да,5,Средний,3,Частная,Нейтральное,Низкая,Нет,Среднее специальное,6.98,Женский,100.0
18.4,100.0,2,4,Редко,6.89,76.12,3,Да,2,Высокий,3,Обычная,Отрицательное,Умеренная,Нет,Высшее,7.95,Мужской,100.0
11.35,79.43,3,4,Редко,7.57,68.87,4,Да,1,Низкий,2,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.66,Женский,100.0
16.08,71.3,2,5,Редко,7.13,44.36,3,Да,2,Средний,2,Частная,Положительное,Умеренная,Нет,Высшее,1.16,Женский,100.0
15.23,84.12,1,3,Нет,8.88,72.98,5,Да,3,Средний,5,Частная,Положительное,Низкая,Нет,Высшее,0.13,Женский,100.0
11.74,100.0,4,3,Нет,4.09,71.09,3,Нет,0,Средний,5,Обычная,Нейтральное,Умеренная,Нет,Среднее,4.13,Мужской,93.7
25.72,76.96,5,1,Иногда,7.48,79.68,3,Да,1,Средний,1,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,1.68,Женский,100.0
18.17,100.0,4,5,Редко,7.37,73.15,4,Да,5,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.97,Женский,100.0
5.0,100.0,4,5,Редко,6.96,71.16,5,Да,3,Низкий,3,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,0.24,Женский,100.0
15.93,79.46,2,2,Редко,9.57,53.65,4,Да,0,Средний,2,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,5.87,Женский,100.0
11.69,90.69,5,4,Часто,6.44,63.72,2,Да,4,Средний,3,Обычная,Отрицательное,Низкая,Нет,Высшее,1.51,Женский,100.0
19.26,100.0,2,3,Часто,8.43,80.72,3,Да,2,Высокий,2,Частная,Отрицательное,Умеренная,Нет,Среднее,0.67,Мужской,100.0
11.04,81.21,5,2,Редко,7.93,95.0,5,Да,2,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее,0.86,Женский,100.0
14.43,82.96,5,5,Редко,9.01,73.83,4,Нет,1,Высокий,3,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.63,Женский,100.0
17.52,79.18,4,3,Нет,6.7,78.93,5,Да,4,Средний,3,Обычная,Положительное,Низкая,Нет,Среднее,1.84,Мужской,100.0
19.33,74.85,5,2,Часто,6.62,86.43,1,Да,1,Низкий,2,Обычная,Нейтральное,Низкая,Да,Высшее,5.32,Мужской,92.48
9.0,78.51,3,4,Нет,8.82,65.27,3,Да,1,Средний,3,Обычная,Положительное,Умеренная,Нет,Высшее,3.89,Мужской,100.0
13.33,72.76,2,4,Редко,8.01,79.4,4,Да,3,Низкий,5,Обычная,Отрицательное,Низкая,Нет,Высшее,1.23,Женский,100.0
12.63,85.34,3,1,Редко,5.65,66.11,5,Да,2,Высокий,3,Обычная,Нейтральное,Низкая,Нет,Высшее,3.5,Мужской,100.0
11.73,77.3,3,4,Редко,6.85,85.38,1,Да,2,Высокий,4,Обычная,Нейтральное,Высокая,Нет,Среднее,1.1,Мужской,100.0
23.83,87.34,1,4,Нет,7.96,76.82,5,Да,1,Низкий,4,Обычная,Положительное,Умеренная,Нет,Среднее,0.58,Женский,100.0
17.02,69.44,3,2,Иногда,8.51,78.58,4,Да,2,Низкий,5,Обычная,Нейтральное,Умеренная,Да,Среднее,8.2,Женский,100.0
8.7,88.31,5,2,Нет,6.68,65.61,2,Да,2,Средний,4,Частная,Нейтральное,Низкая,Нет,Высшее,0.72,Мужской,98.22
19.59,93.34,2,4,Иногда,4.0,83.48,3,Да,1,Средний,4,Частная,Положительное,Высокая,Нет,Высшее,0.78,Мужской,100.0
25.61,65.06,4,3,Нет,8.13,95.0,3,Да,2,Средний,4,Частная,Нейтральное,Низкая,Нет,Среднее специальное,9.15,Мужской,100.0
20.16,88.74,5,5,Нет,6.04,62.91,4,Да,1,Средний,2,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.29,Мужской,100.0
7.4,97.28,5,5,Часто,5.08,70.92,1,Да,3,Средний,3,Частная,Нейтральное,Высокая,Нет,Среднее,2.86,Мужской,100.0
12.58,72.9,5,5,Нет,4.1,77.78,2,Да,0,Низкий,5,Обычная,Нейтральное,Умеренная,Нет,Высшее,5.49,Женский,100.0
21.33,100.0,3,3,Часто,8.48,84.44,5,Да,1,Высокий,4,Обычная,Нейтральное,Высокая,Нет,Среднее,1.43,Женский,100.0
11.46,89.19,5,5,Иногда,7.65,68.29,2,Да,2,Высокий,5,Частная,Нейтральное,Умеренная,Нет,Высшее,0.1,Женский,100.0
17.22,77.95,4,3,Нет,7.23,41.0,2,Да,3,Средний,4,Обычная,Отрицательное,Низкая,Нет,Среднее,0.94,Мужской,98.04
18.87,84.44,2,3,Часто,9.17,91.31,3,Да,3,Высокий,4,Частная,Нейтральное,Низкая,Нет,Среднее,0.24,Женский,100.0
10.37,90.58,3,2,Редко,8.26,84.13,4,Да,0,Низкий,4,Обычная,Положительное,Умеренная,Нет,Высшее,1.08,Женский,100.0
14.7,85.76,4,2,Часто,9.44,54.08,4,Да,1,Низкий,4,Обычная,Нейтральное,Низкая,Нет,Среднее,3.12,Мужской,100.0
5.0,90.39,2,4,Нет,5.83,67.71,3,Да,2,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,1.16,Мужской,100.0
9.88,75.79,3,3,Часто,7.46,93.82,4,Да,0,Средний,5,Частная,Отрицательное,Низкая,Нет,Высшее,1.13,Женский,100.0
13.74,86.69,3,3,Нет,5.56,92.37,4,Да,2,Средний,4,Обычная,Нейтральное,Высокая,Нет,Среднее специальное,1.63,Женский,100.0
8.76,70.86,2,4,Иногда,7.22,86.26,2,Да,3,Высокий,4,Обычная,Отрицательное,Умеренная,Нет,Высшее,1.74,Мужской,100.0
23.16,83.89,3,3,Иногда,7.2,72.89,2,Да,2,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,3.88,Женский,100.0
7.85,75.96,4,4,Часто,8.25,76.0,3,Да,4,Средний,3,Обычная,Нейтральное,Высокая,Нет,Среднее,0.74,Женский,100.0
12.8,77.64,3,3,Часто,7.55,73.43,3,Да,2,Средний,1,Частная,Положительное,Низкая,Нет,Высшее,3.45,Женский,100.0
15.65,97.36,1,5,Часто,8.25,88.54,4,Да,2,Низкий,5,Обычная,Отрицательное,Умеренная,Да,Среднее специальное,1.67,Мужской,100.0
22.21,95.91,1,5,Часто,8.34,64.49,4,Да,0,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.71,Женский,100.0
7.82,91.09,3,3,Нет,10.0,65.33,3,Да,0,Средний,3,Частная,Нейтральное,Низкая,Нет,Высшее,0.7,Мужской,100.0
20.82,74.08,5,3,Редко,7.12,87.12,2,Да,2,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.9,Женский,100.0
15.05,81.84,2,3,Редко,6.37,74.47,2,Да,1,Средний,4,Обычная,Положительное,Умеренная,Нет,Высшее,1.95,Женский,100.0
10.09,97.13,3,5,Редко,7.8,91.54,4,Да,1,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.52,Мужской,100.0
17.31,86.42,2,3,Редко,6.54,66.94,3,Да,3,Средний,4,Частная,Отрицательное,Умеренная,Нет,Среднее специальное,5.06,Женский,100.0
16.0,100.0,3,3,Иногда,9.28,74.34,4,Да,2,Низкий,4,Частная,Нейтральное,Умеренная,Да,Среднее специальное,1.71,Мужской,100.0
12.0,88.93,4,2,Нет,7.16,63.93,2,Да,4,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,5.05,Женский,100.0
15.35,86.92,4,3,Иногда,6.82,75.09,4,Да,3,Низкий,3,Обычная,Отрицательное,Низкая,Нет,Среднее специальное,0.1,Мужской,100.0
13.07,81.91,1,3,Нет,6.93,57.26,5,Да,2,Низкий,1,Частная,Нейтральное,Умеренная,Нет,Высшее,0.84,Женский,100.0
15.57,86.34,3,5,Редко,8.36,69.15,3,Да,1,Средний,4,Обычная,Нейтральное,Высокая,Нет,Высшее,0.1,Мужской,100.0
18.31,83.48,1,3,Иногда,7.31,57.76,3,Да,1,Низкий,2,Частная,Нейтральное,Высокая,Нет,Среднее,0.64,Женский,100.0
22.93,92.08,3,3,Иногда,6.73,83.33,5,Нет,2,Высокий,4,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,3.96,Женский,100.0
8.81,94.57,3,5,Иногда,9.5,83.6,3,Да,5,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.1,Женский,100.0
25.67,77.14,2,5,Иногда,6.47,54.24,4,Да,4,Низкий,3,Обычная,Нейтральное,Высокая,Нет,Среднее специальное,1.15,Мужской,100.0
5.24,71.69,2,3,Нет,7.54,91.01,1,Да,1,Средний,5,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.25,Женский,100.0
14.24,66.64,3,3,Иногда,8.28,95.0,4,Нет,0,Средний,1,Обычная,Положительное,Умеренная,Нет,Высшее,1.08,Мужской,100.0
17.94,90.08,5,3,Нет,5.54,75.55,1,Нет,0,Низкий,4,Обычная,Отрицательное,Низкая,Нет,Среднее,3.65,Женский,99.69
16.4,73.97,5,5,Редко,8.08,67.31,5,Да,5,Низкий,2,Обычная,Положительное,Высокая,Да,Среднее,1.95,Женский,100.0
11.89,63.47,1,2,Редко,6.23,95.0,4,Да,4,Высокий,1,Обычная,Нейтральное,Умеренная,Нет,Высшее,2.67,Женский,100.0
13.96,88.89,4,5,Нет,8.49,59.17,4,Да,2,Средний,3,Частная,Положительное,Умеренная,Нет,Среднее специальное,0.86,Женский,100.0
12.53,100.0,3,4,Редко,6.34,75.24,4,Да,2,Средний,2,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,5.78,Мужской,100.0
12.05,84.94,3,4,Часто,8.33,77.16,4,Да,4,Средний,4,Частная,Нейтральное,Умеренная,Нет,Высшее,2.47,Женский,100.0
19.25,93.38,4,1,Часто,8.83,91.14,3,Да,3,Низкий,3,Обычная,Положительное,Умеренная,Да,Высшее,1.1,Мужской,100.0
16.79,85.82,5,3,Редко,8.53,79.32,5,Да,6,Средний,1,Частная,Положительное,Умеренная,Да,Среднее,1.11,Женский,100.0
11.54,84.01,5,3,Нет,7.8,69.02,5,Да,0,Средний,1,Обычная,Нейтральное,Низкая,Нет,Среднее,5.02,Женский,95.61
19.5,94.19,3,2,Нет,7.22,63.59,3,Да,3,Высокий,4,Частная,Отрицательное,Умеренная,Нет,Среднее,1.72,Женский,100.0
16.54,82.1,3,4,Редко,6.81,70.9,5,Да,1,Низкий,4,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,2.45,Женский,100.0
19.06,87.67,4,5,Часто,9.27,62.92,4,Да,1,Высокий,3,Обычная,Положительное,Умеренная,Нет,Среднее,1.08,Мужской,100.0
18.15,88.22,2,4,Нет,6.66,75.57,4,Да,1,Низкий,3,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,0.51,Женский,100.0
10.86,78.32,3,4,Иногда,6.26,68.23,3,Да,5,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,2.57,Мужской,100.0
12.2,94.92,3,2,Нет,8.3,57.07,2,Да,6,Низкий,4,Обычная,Положительное,Низкая,Нет,Среднее специальное,1.87,Женский,100.0
18.74,83.25,3,3,Часто,6.54,90.06,1,Да,1,Низкий,3,Обычная,Положительное,Низкая,Нет,Среднее,1.39,Женский,100.0
18.05,77.44,2,2,Редко,6.36,69.03,2,Да,2,Высокий,4,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,1.96,Мужской,100.0
14.9,90.37,2,4,Иногда,5.77,59.78,4,Да,0,Средний,4,Обычная,Нейтральное,Высокая,Нет,Среднее специальное,0.47,Мужской,100.0
15.59,76.02,5,5,Редко,6.92,72.98,3,Да,0,Низкий,4,Частная,Положительное,Умеренная,Нет,Среднее,3.16,Мужской,100.0
21.39,85.28,2,4,Иногда,7.4,75.82,3,Да,4,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,5.92,Женский,100.0
12.04,84.91,3,2,Нет,7.79,54.04,5,Да,2,Высокий,5,Обычная,Положительное,Умеренная,Нет,Среднее,4.43,Мужской,100.0
17.74,95.86,2,3,Нет,8.64,78.98,3,Да,1,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.78,Женский,100.0
13.99,89.75,1,4,Часто,8.13,62.43,3,Да,2,Высокий,5,Обычная,Нейтральное,Высокая,Нет,Высшее,1.04,Женский,100.0
13.91,84.75,1,3,Часто,7.27,95.0,2,Да,0,Низкий,3,Обычная,Нейтральное,Низкая,Да,Среднее специальное,3.3,Мужской,89.07
20.49,93.18,2,5,Часто,7.26,81.29,1,Да,0,Высокий,4,Частная,Нейтральное,Низкая,Нет,Высшее,1.81,Женский,100.0
19.13,98.9,4,5,Иногда,8.11,70.2,4,Да,2,Средний,2,Обычная,Положительное,Высокая,Нет,Среднее,1.59,Женский,100.0
19.07,90.58,2,4,Часто,9.03,66.06,4,Да,2,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,5.22,Мужской,100.0
21.53,85.1,5,3,Нет,7.65,73.74,4,Да,0,Средний,4,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,1.54,Женский,100.0
15.11,71.88,3,3,Редко,6.94,82.35,2,Да,2,Средний,4,Обычная,Нейтральное,Низкая,Нет,Среднее,1.45,Мужской,100.0
18.41,74.35,3,2,Редко,6.31,74.69,4,Нет,1,Средний,1,Частная,Нейтральное,Низкая,Нет,Среднее специальное,0.1,Мужской,100.0
13.45,81.95,3,3,Иногда,5.77,72.39,3,Да,3,Низкий,3,Обычная,Нейтральное,Высокая,Нет,Среднее,0.14,Женский,100.0
16.62,78.9,3,3,Редко,8.3,75.7,2,Да,4,Средний,2,Частная,Нейтральное,Низкая,Нет,Среднее специальное,0.1,Мужской,100.0
14.35,83.13,4,4,Нет,8.19,67.75,1,Да,4,Низкий,5,Обычная,Нейтральное,Высокая,Нет,Высшее,4.89,Женский,100.0
15.48,85.57,2,4,Иногда,8.19,70.88,2,Нет,2,Высокий,4,Обычная,Положительное,Высокая,Нет,Среднее,1.05,Женский,100.0
17.98,90.3,3,2,Часто,7.35,49.97,3,Да,4,Низкий,1,Обычная,Положительное,Умеренная,Да,Среднее,1.26,Женский,100.0
10.91,84.3,4,3,Редко,9.19,86.68,2,Да,4,Средний,4,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,3.73,Мужской,100.0
25.46,89.87,5,2,Нет,6.92,78.59,5,Да,2,Средний,5,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,1.88,Мужской,100.0
9.97,85.64,4,2,Нет,8.65,65.72,3,Да,2,Высокий,3,Частная,Нейтральное,Умеренная,Да,Высшее,1.88,Мужской,100.0
8.93,65.25,3,5,Редко,7.45,95.0,2,Да,0,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.7,Женский,100.0
20.79,75.61,4,1,Редко,6.77,76.04,2,Да,4,Средний,3,Частная,Положительное,Умеренная,Нет,Среднее,3.59,Женский,100.0
18.96,83.56,3,3,Иногда,8.21,62.57,4,Да,3,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.36,Мужской,100.0
18.12,72.9,3,2,Иногда,7.99,85.28,1,Да,2,Средний,3,Частная,Нейтральное,Высокая,Нет,Высшее,0.11,Мужской,100.0
18.14,91.0,2,5,Иногда,7.93,79.78,5,Да,3,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.43,Мужской,100.0
14.94,100.0,3,4,Редко,7.6,79.73,5,Да,3,Средний,3,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,0.62,Мужской,100.0
10.51,97.19,2,3,Часто,7.45,69.89,2,Да,2,Высокий,2,Обычная,Отрицательное,Высокая,Нет,Среднее,0.66,Женский,100.0
15.38,82.87,3,4,Редко,10.0,80.41,3,Да,6,Средний,4,Обычная,Нейтральное,Низкая,Нет,Среднее,2.22,Женский,100.0
11.61,99.91,4,4,Редко,8.92,71.86,1,Да,1,Низкий,3,Обычная,Отрицательное,Низкая,Нет,Среднее,0.49,Женский,93.78
19.88,86.49,2,5,Часто,8.37,81.67,4,Да,2,Высокий,3,Обычная,Положительное,Низкая,Нет,Среднее специальное,2.26,Мужской,100.0
14.26,81.63,1,3,Нет,7.63,52.14,3,Да,2,Средний,4,Обычная,Положительное,Низкая,Нет,Высшее,0.19,Женский,100.0
10.87,78.87,1,5,Нет,8.71,69.79,3,Да,2,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.32,Мужской,100.0
13.39,81.98,5,5,Часто,8.12,95.0,2,Да,3,Высокий,3,Обычная,Положительное,Умеренная,Нет,Среднее,1.42,Женский,100.0
17.06,81.12,3,5,Редко,7.53,65.8,4,Да,2,Низкий,5,Обычная,Нейтральное,Умеренная,Нет,Среднее,5.1,Мужской,100.0
12.18,86.7,3,4,Иногда,7.14,67.75,3,Да,3,Средний,4,Обычная,Положительное,Высокая,Нет,Среднее,3.93,Женский,100.0
10.89,86.61,4,4,Нет,7.4,69.62,2,Да,1,Средний,2,Частная,Отрицательное,Низкая,Нет,Среднее специальное,6.93,Женский,100.0
16.22,85.03,4,3,Иногда,4.0,60.42,4,Да,1,Высокий,3,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,2.1,Мужской,100.0
16.22,89.37,3,4,Редко,7.75,48.5,4,Нет,0,Низкий,5,Обычная,Положительное,Низкая,Да,Среднее,2.25,Женский,100.0
12.47,96.91,3,4,Нет,6.91,72.23,5,Да,6,Средний,3,Частная,Отрицательное,Умеренная,Нет,Среднее специальное,1.96,Женский,100.0
12.64,94.5,4,4,Иногда,9.41,76.63,2,Да,2,Высокий,3,Обычная,Положительное,Умеренная,Нет,Среднее,1.95,Мужской,100.0
16.16,70.15,3,3,Редко,7.52,74.37,4,Да,6,Низкий,2,Обычная,Нейтральное,Высокая,Нет,Среднее,0.32,Мужской,100.0
7.76,59.46,2,4,Редко,6.07,73.26,4,Да,2,Низкий,2,Частная,Положительное,Умеренная,Нет,Среднее,1.57,Женский,100.0
7.96,94.34,4,5,Нет,7.44,75.52,2,Да,1,Высокий,4,Обычная,Нейтральное,Низкая,Нет,Среднее,0.98,Женский,100.0
11.41,71.33,3,2,Нет,6.24,87.27,4,Да,1,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,1.17,Женский,100.0
13.93,82.75,2,5,Редко,8.07,72.71,3,Да,0,Высокий,5,Частная,Отрицательное,Низкая,Нет,Среднее,1.48,Женский,100.0
16.55,73.3,3,4,Нет,7.85,68.11,5,Да,2,Низкий,4,Обычная,Положительное,Низкая,Нет,Высшее,0.27,Женский,100.0
22.38,66.98,1,5,Часто,8.65,71.63,2,Да,2,Средний,3,Обычная,Отрицательное,Умеренная,Нет,Высшее,0.89,Женский,100.0
19.29,90.41,2,3,Нет,6.55,81.95,4,Да,5,Средний,1,Частная,Нейтральное,Низкая,Нет,Среднее специальное,0.13,Женский,100.0
14.2,92.59,4,3,Редко,7.54,91.94,3,Да,1,Средний,5,Обычная,Нейтральное,Умеренная,Нет,Высшее,7.79,Мужской,100.0
14.9,79.23,1,5,Нет,5.86,67.46,5,Да,1,Средний,3,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.25,Женский,100.0
9.99,59.09,3,3,Редко,8.34,76.19,3,Да,2,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.6,Мужской,100.0
14.91,79.54,3,5,Часто,8.12,79.06,5,Да,2,Высокий,5,Обычная,Отрицательное,Низкая,Нет,Среднее,4.44,Мужской,100.0
13.56,88.92,1,3,Нет,8.09,63.09,5,Да,2,Низкий,3,Обычная,Положительное,Высокая,Нет,Среднее специальное,1.32,Женский,100.0
